Language,Article Name,Subarticle Name,Article First Paragraph Length,Subarticle First Paragraph Length,rating1,rating2,rating1_time,rating2_time,MeanRating,only3,gte2,one3,gte25,Score Difference,Column 16,Column 17,Column 18,Column 19
EN,Compass,Magnetic deviation,953,181,3,2,52474,62927,2.5,0,1,1,1,1,,Average Difference,0.71,
ES,Homo sapiens,Cultura,200,356,1,0,212772,42023,0.5,0,0,0,0,1,,Deviation,0.713051338302703,
ES,Tolerancia social,Discriminacion,135,625,2,1,81906,138485,1.5,0,0,0,0,1,,Difference of 0,85 (42.5%),
EN,The Legend of Zelda: Majora's Mask,The Legend of Zelda series#Gameplay,723,1112,2,0,620286,97768,1,0,0,0,0,2,,Difference of 1,91 (45.5%),
EN,Coconut,Coconut oil,518,1034,2,2,147211,126175,2,0,1,0,0,0,,Difference of 2,21 (10.5%),
ES,The Legend of Zelda: Ocarina of Time,Anexo:Personajes de The Legend of Zelda,961,141,1,1,86709,80132,1,0,0,0,0,0,,Difference of 3,3 (1.5%),
EN,Science in the medieval Islamic world,Timeline of Islamic science and technology,439,282,3,2,218174,106904,2.5,0,1,1,1,1,,,,
EN,Compass,Fluxgate compass,953,474,3,3,353318,25355,3,1,1,1,1,0,,,José,Isely
EN,Magnetometer,Intermagnet,115,143,0,1,22657,279802,0.5,0,0,0,0,1,,Average Time (ms),66476.46,140505.52
ES,"Capo di Noli, cerca de Genova",Neoimpresionismo,171,599,1,1,90615,103605,1,0,0,0,0,0,,Total Time (ms),13295292,28101104
ES,Homo sapiens,Historia del arte,200,118,1,0,619013,28460,0.5,0,0,0,0,1,,Max Time (ms),620286,2557774
ES,Dragon,Yamata-no-Orochi,69,503,0,0,108630,543199,0,0,0,0,0,0,,,,
EN,Science in the medieval Islamic world,List of Arab scientists and scholars,439,258,2,3,50492,66770,2.5,0,1,1,1,1,,,,
EN,FIFA World Cup,National team appearances in the FIFA World Cup,487,138,2,2,203731,599465,2,0,1,0,0,0,,,,
EN,Compass,Magnetic dip,953,298,3,1,21061,680685,2,0,1,1,0,2,,,,
ES,Gorillaz,Anexo:Premios y nominaciones de Gorillaz,1278,1129,3,3,160779,67873,3,1,1,1,1,0,,,,
EN,Singing,Voice pedagogy,1024,220,2,2,32323,221256,2,0,1,0,0,0,,,,
EN,Microsoft Excel,Visual basic for applications,569,992,0,0,19244,113779,0,0,0,0,0,0,,,,
EN,Budapest,List of twin towns and sister cities in Hungary,877,432,1,0,481865,82079,0.5,0,0,0,0,1,,,,
ES,Calculo infinitesimal,Calculo diferencial,202,405,3,3,271760,135513,3,1,1,1,1,0,,,,
ES,Copa Mundial de Futbol,Copa Mundial de Futbol Sub-20,524,299,2,1,142870,102798,1.5,0,0,0,0,1,,,,
ES,Segunda Guerra Mundial,Cronologia de la Segunda Guerra Mundial,934,133,3,3,22627,139522,3,1,1,1,1,0,,,,
ES,Ecologia,Geobiologia,533,386,2,1,389489,106595,1.5,0,0,0,0,1,,,,
EN,Human factors and ergonomics,Single pilot resource management,404,592,0,1,79591,350755,0.5,0,0,0,0,1,,,,
ES,Organizacion de las Naciones Unidas,Ley de cuidados inversos,370,241,0,0,60560,71440,0,0,0,0,0,0,,,,
EN,European Space Agency,European integration#Space,405,287,1,0,258084,640520,0.5,0,0,0,0,1,,,,
ES,Odin,Hold Nickar,123,525,1,2,184584,368714,1.5,0,0,0,0,1,,,,
EN,Actor,Mime,356,430,0,1,32147,112480,0.5,0,0,0,0,1,,,,
EN,Craft,Studio craft,369,483,1,3,23435,119263,2,0,1,1,0,2,,,,
EN,Large Hadron Collider,Super Large Hadron Collider,685,336,3,3,18484,241606,3,1,1,1,1,0,,,,
