main_article	sub_article	rating1	rating2
Homo sapiens	Cultura	1	0
Tolerancia social	Discriminacion	2	1
The Legend of Zelda: Ocarina of Time	Anexo:Personajes de The Legend of Zelda	1	1
Capo di Noli, cerca de Genova	Neoimpresionismo	1	1
Homo sapiens	Historia del arte	1	0
Dragon	Yamata-no-Orochi	0	0
Gorillaz	Anexo:Premios y nominaciones de Gorillaz	3	3
Calculo infinitesimal	Calculo diferencial	3	3
Copa Mundial de Futbol	Copa Mundial de Futbol Sub-20	2	1
Segunda Guerra Mundial	Cronologia de la Segunda Guerra Mundial	3	3
Ecologia	Geobiologia	2	1
Organizacion de las Naciones Unidas	Ley de cuidados inversos	0	0
Odin	Hold Nickar	1	2
Segunda Guerra Mundial	Resistencia durante la Segunda Guerra Mundial	3	2
Queen	A Day at the Races	3	3
J. R. R. Tolkien	Roverandom	2	2
House M. D.	Anexo:Cuarta temporada de House	3	3
Organizacion de las Naciones Unidas	Organizacion Mundial de la Salud	2	3
Tomas Cipriano de Mosquera	Batalla de Cuaspud	1	1
Homo sapiens	Amor	0	0
OTAN	Alfabeto fonetico de la OTAN	1	1
Segunda Guerra Mundial	Batalla del Atlantico	2	3
Esquema de piramide	Celulas de la abundancia	2	2
Segunda Guerra Mundial	Operacion Market Garden	3	2
Imperio aleman	Rechtsstaat	2	0
Derechos humanos	Organizacion Internacional del Trabajo	1	0
Turquia	Organizacion territorial de Turquia	3	3
Ecologia	Ecozona	2	1
Teléfono	Anexo:Paises por numero de lineas telefonicas	3	1
Sacro Imperio Romano Germanico	Anexo:Estados del Sacro Imperio Romano Germanico	3	3
Queen	Greatest Hits II (album de Queen)	3	3
Stephenie Meyer	Luna nueva (novela)	2	3
Especie	Filo	2	1
Segunda Guerra Mundial	Batalla de Madagascar	3	3
Coleoptera	Anexo:Familias y subfamilias de coleopteros	3	3
Torneo Apertura 2009 (Colombia)	Anexo:Torneo Apertura 2009 (Colombia) - Cuadrangulares semifinales	3	3
Turquia	Reformas de Atatürk	2	1
Etanol	Efectos del alcohol en el cuerpo	3	0
Matrimonio entre personas del mismo sexo	Matrimonio entre personas del mismo sexo en Estados Unidos	3	1
Homo sapiens	Anatomia humana	2	2
Alimento	Gastronomia	2	1
Homo sapiens	Sexualidad humana	2	2
Mac OS X	Mac OS X v10.2	3	3
Tolerancia social	Filosofia politica	0	0
Mac OS X	iLife	2	1
Segunda Guerra Mundial	Hechos anteriores a la Segunda Guerra Mundial en Asia	3	3
Derivada	Derivacion numerica	3	3
Organizacion de las Naciones Unidas	Television de Naciones Unidas	3	3
Queen	Anexo:Giras musicales de Queen	3	3
Matrimonio entre personas del mismo sexo	Heterosexismo	1	1
Harry Potter	Harry Potter y el prisionero de Azkaban	3	3
Calculo infinitesimal	Seki Kowa	2	1
Segunda Guerra Mundial	Hechos anteriores a la Segunda Guerra Mundial en Europa	3	2
Super Smash Bros.	Super Smash Bros. (saga)	2	1
Segunda Guerra Mundial	Fall Blau	3	3
Segunda Guerra Mundial	Gulag	2	0
Valdemoro	Historia de Valdemoro	3	2
Politica de Mexico	Municipios de Mexico	1	1
Homo sapiens	Antropologia	2	1
Ecologia	Factores bioticos	3	3
Derechos humanos	Corte Interamericana de Derechos Humanos	3	2
Flamenco	Dia del Flamenco	3	2
Ecologia	Ecologia cultural	3	1
Matrimonio entre personas del mismo sexo	Matrimonio	1	1
Spiral	BOR-4	2	1
Homo sapiens	Filosofia	1	0
STS-335	Estacion Espacial Internacional	0	0
Segunda Guerra Mundial	Crimenes de guerra japoneses	1	1
Homo sapiens	Homo homini lupus	1	0
WHSV-TV	WHSV-DT2	2	3
Radiactividad	Radiacion ionizante	2	3
Homo sapiens	Pensamiento (mente)	2	1
Lava	Lava acojinada	3	3
Queen	Anexo:Discografia de Queen	3	3
Homo sapiens	Razas humanas	2	1
Teléfono	Telefono descompuesto	0	0
Politica de Mexico	Congreso de la Union	3	3
Homo sapiens	Danza	1	0
Copa Mundial de Futbol	Copa Mundial de Futbol Sub-17	3	1
Torneo Apertura 2009 (Colombia)	Anexo:Final del Torneo Apertura 2009 (Colombia)	3	2
Microsoft Office	Microsoft Outlook	2	3
Matrimonio entre personas del mismo sexo	Matrimonio entre personas del mismo sexo en los Paises Bajos	3	2
Radiactividad	Teoria atomica	1	0
Mac OS X	Mac OS X v10.1	3	3
Ecologia	Biogeografia	2	1
Derivada	Isaac Newton	1	1
Homo sapiens	Sistema reproductivo	2	3
Tolerancia social	Libertad	1	1
Organizacion de las Naciones Unidas	Inteligencia sanitaria	0	1
STS-335	STS-135	2	0
Segunda Guerra Mundial	Bloque del Este	2	0
Tomas Cipriano de Mosquera	Anexo:Gobernadores de Cauca	2	0
Sindicato	Flexibilidad laboral	2	3
Etanol	Etanol (combustible)	2	2
Alimento	Lote vegetariano	1	1
Reloj atomico	Reloj de logica cuantica	1	0
Valdemoro	Parque Regional del Sureste	1	0
Mac OS X	Mac OS X v10.7	3	3
Derechos humanos	Libertad	2	2
Politica de Mexico	Camara de Diputados  (Mexico)	2	2
