main_title	sub_title	rating1	rating2
Star Wars: The Force Awakens	List of Star Wars films and television series	1	1
Donald Trump	The Trump Organization	2	3
David Bowie	List of number-one dance hits (United States)	0	1
Star Wars	Star Wars role play	3	2
Pablo Escobar	Ernesto Samper	0	0
Java (programming language)	Java syntax	3	3
Deaths in 2015	Deaths in 1991	0	0
The Revenant (2015 film)	Man in the Wilderness	1	0
XHamster	Pornhub	1	0
Islamic State of Iraq and the Levant	Military intervention against ISIL	3	1
Facebook	Facebook features	3	3
Barack Obama	Barack Obama religion conspiracy theories	3	2
Bernie Sanders	Political positions of Bernie Sanders	3	3
Adele	Billboard Music Award	0	1
Google	Criticism of Google	3	3
Spectre (2015 film)	Spectre: Original Motion Picture Soundtrack	3	3
Anahí	Anahí discography	3	3
United States	List of United States cities by population	2	1
Deadpool	Hulked Out Heroes	0	1
Steven Avery	List of wrongful convictions in the United States	1	1
Jessica Jones	The Pulse (comics)	1	1
Leonardo DiCaprio	List of awards and nominations received by Leonardo DiCaprio	3	1
Ronda Rousey	List of Strikeforce champions	1	1
The Walking Dead (TV series)	The Walking Dead (season 5)	2	3
American Horror Story: Hotel	List of awards and nominations received by American Horror Story	1	1
Steve Jobs	iPod	1	1
Dr. Dre	Dr. Dre production discography	3	3
Stephen Hawking	Gibbons–Hawking space	1	1
Peyton Manning	List of gridiron football quarterbacks passing statistics	0	1
Ice Cube	Ice Cube discography	3	3
O. J. Simpson	List of American Football League players	2	1
Nuclear magnetic resonance spectroscopy	Nuclear magnetic resonance spectroscopy of nucleic acids	3	3
Dilwale (2015 film)	Dilwale (soundtrack)	3	3
India	Foreign relations of India	3	3
List of stock market crashes and bear markets	List of recessions in the United States	1	1
The Walking Dead (season 6)	List of The Walking Dead (TV series) characters	1	2
N.W.A	Straight Outta Compton (film)	1	0
Whitey Bulger	The World's 10 Most Wanted	1	2
The Martian (film)	Effect of spaceflight on the human body	1	1
Alan Rickman	List of awards and nominations received by Alan Rickman	3	3
Cristiano Ronaldo	Messi–Ronaldo rivalry	2	2
World War II	Nazi plunder	2	2
Adolf Hitler	List of speeches given by Adolf Hitler	3	2
The Weeknd	The Weeknd discography	3	3
Dwayne Johnson	Nation of Domination	1	1
Ted Cruz	United States Senate election in Texas, 2012	0	1
United States presidential election, 2016	Democratic Party (United States)	1	1
Justin Bieber	List of Billboard Social 50 number-one artists	0	1
Syrian Civil War	Timeline of Islamic State of Iraq and the Levant events in 2014	1	1
Lionel Messi	Messi–Ronaldo rivalry	2	2
Wikipedia	Criticism of Wikipedia	3	3
List of Super Bowl champions	List of NFL champions	1	1
Ben Carson	Political positions of Ben Carson	3	3
A. P. J. Abdul Kalam	Pokhran-II	0	1
Kanye West	Kanye West discography	3	3
World War I	Serbian Campaign (World War I)	2	2
Game of Thrones	Works based on A Song of Ice and Fire	1	2
Sunny Leone	Pornography in India	1	1
Cam Newton	List of Heisman Trophy winners	1	1
Kim Kardashian	History of the Armenian Americans in Los Angeles	0	1
United Kingdom	Demography of the United Kingdom	3	3
Prem Ratan Dhan Payo	List of highest-grossing Bollywood films	0	1
Robert Kardashian	History of the Armenian Americans in Los Angeles	0	1
The Hateful Eight	The Hateful Eight (soundtrack)	3	3
Mad Max: Fury Road	Mad Max: Fury Road (comic book)	1	3
Johnny Depp	List of people of self-identified Cherokee ancestry	0	1
Scream Queens (2015 TV series)	List of Scream Queens characters	3	3
Tom Brady	NFL starting quarterback playoff records	0	1
Baahubali: The Beginning	Production of Baahubali	1	2
Elizabeth II	List of things named after Queen Elizabeth II	3	2
Chris Kyle	List of snipers	0	1
Gotham (TV series)	List of Gotham episodes	3	2
Question mark	Exclamation mark	0	1
September 11 attacks	Emergency workers killed in the September 11 attacks	3	2
The Big Bang Theory	List of The Big Bang Theory characters	3	3
Caitlyn Jenner	I Am Cait	2	1
Drake (rapper)	Canadian hip hop	1	1
Sylvester Stallone	Sylvester Stallone filmography	3	3
Arrow (TV series)	List of Arrow episodes	3	3
Mahatma Gandhi	List of roads named after Mahatma Gandhi	3	2
Justin Trudeau	Liberal Party of Canada leadership election, 2013	1	1
Michael Jackson	1993 child sexual abuse accusations against Michael Jackson	3	3
Krampus	Krampus in North American popular culture	3	2
Albert Einstein	Einstein family	3	3
American Horror Story	American Horror Story: Hotel	2	2
Fetty Wap	Fetty Wap discography	3	3
Jennifer Lawrence	List of actors with two or more Academy Award nominations in acting categories	1	1
Conor McGregor	List of male mixed martial artists	0	1
Canada	Economy of Canada	3	3
List of Suits episodes	Suits (season 1)	1	2
Martin Luther King, Jr.	Opposition to the U.S. involvement in the Vietnam War	0	1
Elon Musk	PayPal	1	1
Stephen Curry	List of National Basketball Association season free throw percentage leaders	1	1
Zika virus	2007 Yap Islands zika virus outbreak	3	2
Tupac Shakur	List of songs recorded by Tupac Shakur	3	3
Michael Jordan	List of career achievements by Michael Jordan	3	3
