main_article	sub_article	rating1	rating2
Independencia (fragata blindada)	Campaña naval de la Guerra del Pacífico	1	0
Star Wars	Música de Star Wars	2	3
Primera Guerra Mundial	Conflicto armado	1	1
Segunda Guerra Mundial	Conferencia de Yalta	2	2
Día de San Valentín	Cupido	2	1
Tabla periódica de los elementos	Alternativas de tablas periódicas	3	3
Independencia de México	Junta Suprema Central	2	1
México	Boxeo en México	1	2
Estados Unidos	Literatura de Estados Unidos	1	2
Pablo Escobar	Conflicto armado en Colombia	1	1
Carlos I de España	Conquista de Navarra	2	2
España	Banca en España	3	3
Steve Jobs	Pixar Animation Studios	2	2
Lionel Messi	Anexo:Temporada 2009/10 del Fútbol Club Barcelona	1	1
Deadpool	Universo Marvel	1	1
Voleibol	Campeonato Europeo de Voleibol	1	1
Estado Islámico	Guerra de Afganistán (2001-presente)	2	2
Baloncesto	Federación Internacional de Baloncesto	1	2
Tecnología	Historia de la ciencia	0	0
Revolución mexicana	Guerra cristera	0	1
Descubrimiento de América	Poblamiento de América	0	0
Método científico	Filosofía de la ciencia	1	1
Ciencia	Distinción analítico-sintético	1	1
Facebook	Servicio de red social	1	2
The Walking Dead (serie de televisión)	l1=Sexta temporada de The Walking Dead	2	3
Leyes de Newton	Mecánica clásica	2	2
Simón Bolívar	Guerra a muerte (Venezuela)	2	2
Stephen Hawking	Colonización espacial	1	1
Halloween	Morder la manzana	3	3
Guerra Civil Siria	Crisis diplomática entre Turquía y Siria	2	2
Albert Einstein	Teoría de la relatividad	1	2
Adolf Hitler	Decreto del incendio del Reichstag	3	3
David Bowie	l1=Filmografía de David Bowie	3	3
Frida Kahlo	Surrealismo	1	1
El señor de los cielos	Anexo:Telenovelas de Telemundo	1	0
Internet	Proveedor de servicios de Internet	2	3
Revolución Industrial	Tercera revolución industrial	2	2
Colombia	Derechos humanos en Colombia	3	1
Revolución francesa	Fuga de Varennes	3	3
Célula	Célula artificial	2	2
Argentina	Prehistoria argentina	0	3
Aristóteles	Platón	0	1
Democracia	Democracia deliberativa	3	3
Día de Muertos	Hanal Pixan	1	2
Isaac Newton	A hombros de gigantes	0	1
Contaminación	Minería a cielo abierto	0	0
Filosofía	Metafísica	1	2
Sistema solar	Anexo:Datos de los planetas del sistema solar	3	3
Agua	Zona de habitabilidad	0	0
Fútbol	Historia del fútbol	2	3
Derechos humanos	Derechos del niño	1	1
Globalización	Sociedad del conocimiento	1	0
Aparato digestivo	Enfermedades del sistema digestivo	2	2
Sistema homogéneo	Sistema heterogéneo	2	1
Francisco (papa)	Anexo:Cronología del pontificado de Francisco	2	3
Ensayo	Zuihitsu	3	3
Economía	economía positiva	3	3
Cristóbal Colón	Primer viaje de Colón	2	2
Síndrome de Asperger	TDAH	1	0
Ética	Problema del ser y el deber ser	3	2
Leonardo da Vinci	Andrea del Verrocchio	2	1
Software	Hediondez del código	2	1
Charles Darwin	Eugenesia	1	1
Computadora	Sistema de archivos	3	2
Calentamiento global	Efectos del calentamiento global#Migraciones	3	2
Sistema operativo	Software de sistema	3	3
Cultura	Cibercultura	2	2
Física	Matemáticas	1	1
Mauricio Macri	Cambiemos	2	2
Sistema nervioso	Nervio facial	2	3
Ecosistema	Ecosistema marino	3	3
Atletismo	Dopaje	2	2
Átomo	Elemento químico	1	2
Galileo Galilei	Médicis	1	0
Historia	Cronista	2	2
Copa Libertadores 2016	Anexo:Grupo 1 de la Copa Libertadores 2016	2	2
Responsabilidad	Declaración de Responsabilidades y Deberes Humanos	2	0
Gabriel García Márquez	Anexo:Bibliografía de Gabriel García Márquez	2	3
Dengue	Enfermedades de origen hídrico	1	1
Joaquín Guzmán Loera	Cartel (organización ilícita)	1	1
Densidad	Densidad relativa	3	3
Ariana Grande	Victorious	1	1
Familia	Matriarcado	1	1
Siria	Demografía de Siria	3	3
Justin Bieber	Anexo:Premios y nominaciones de Justin Bieber	3	2
YouTube	Youtube Editor	3	3
El Niño (fenómeno)	Anexo:Eventos de El Niño y La Niña en el Siglo XXI	3	3
Energía	Energía potencial	2	2
Psicología	Psicología hórmica	3	3
Ilustración	Siglo XVIII	0	0
Respeto	Teoría del reconocimiento	1	1
Islam	La Meca	2	2
Mito	Mitografía	3	3
Monte Everest	Sherpa	0	2
Romanticismo	Prerromanticismo	1	2
Guerra Fría	Conflicto etíope-somalí	1	3
Ácido desoxirribonucleico	ARN	1	2
Leyenda	Cuento	1	1
Navidad	Categoría:Personajes navideños	3	3
Google	YouTube	1	2
Sistema Internacional de Unidades	Redefinición de las unidades del SI	2	3
Química	Física	1	1
Celia Cruz	Anexo:Alias honoríficos en la música popular	0	0
Sylvester Stallone	Anexo:Filmografía de Sylvester Stallone	3	3
