main_title	sub_title	rating1	rating2
2016年中華民國立法委員選舉	2016年中華民國立法委員選舉區域暨原住民選舉區投票結果列表	3	3
2016年中華民國總統選舉	2016年中華民國總統選舉政見	3	3
一拳超人	一拳超人角色列表	3	3
蔡英文	宇昌案	2	1
福音戰士新劇場版：Q	Shiro SAGISU Music from "EVANGELION:3.0" YOU CAN (NOT) REDO.	3	3
星際大戰	星際大戰系列登場人物列表	3	3
SpeXial	Love Killah	2	3
习近平	習近平吃包子事件	3	2
EXO	EXO音樂作品列表	3	3
伊斯兰国	伊斯兰国国徽	3	3
ONE PIECE	ONE PIECE (動畫)	2	3
進擊的巨人	進擊的巨人 (2015年電影)	2	3
Wiki	網誌	0	1
中華民國	九二共識	1	2
臺灣	臺灣舞蹈	3	3
江泽民	楊尚昆	1	1
少女时代	少女時代-太蒂徐	3	2
火影忍者	火影忍者忍者分類	3	3
我們結婚了	我們結婚了 世界版	3	3
日本	日本漫画家列表	3	1
我是歌手	我是歌手 (第一季)	3	2
中华人民共和国	中華人民共和國體育	3	3
香港	香港街頭小吃	3	3
维基百科	對維基百科的批評	3	3
FAIRY TAIL	FAIRY TAIL角色列表	3	3
暗殺教室	暗殺教室角色列表	3	3
東京喰種	東京喰種角色列表	3	3
LoveLive!	LoveLive! 廣播節目列表	3	3
食戟之靈	食戟之靈角色列表	3	3
刀劍神域	刀劍神域角色列表	3	3
IU (歌手)	IU获奖与提名列表	3	3
秦始皇	趙高	1	1
朱立倫	頂新三重新燕案土地變更事件	1	1
Apink	Apink音樂作品列表	3	3
STAR WARS：原力覺醒	星際大戰人物列表	1	2
ONE PIECE海賊列表	王下七武海	3	3
Facebook	Facebook年表	3	3
杨幂	四小花旦	1	2
新加坡	新加坡华文	3	3
翡翠台電視劇集列表 (2010年代)	翡翠台電視劇集列表 (2013年)	0	1
921大地震	中華民國政府與臺灣人民對2011年東日本大震災之援助及各界反應與檢討	0	1
Super Junior	Super Junior获奖及提名列表	3	3
移動迷宮 (電影)	移動迷宮：焦土試煉	1	2
Fate/stay night	Fate/stay night角色列表	3	3
INFINITE	Infinite大型頒獎禮獲獎及提名列表	3	3
七大罪 (漫畫)	七大罪角色列表	3	3
九二共識	辜汪會談	1	1
火影忍者疾風傳動畫集數列表	卡卡西外傳	0	1
名偵探柯南	名偵探柯南 (動畫)	3	3
神鵰俠侶	神鵰俠侶角色列表	3	3
中國	中国政治史	3	3
劉德華	劉德華派台歌曲成績列表	3	3
毛泽东	毛泽东逝世	3	3
李登輝	2000年中華民國總統選舉	1	1
第二次世界大战	第二次世界大戰中的抵抗運動	3	3
清朝	清朝藝術	3	3
始源	Super Junior唱片统计	1	1
洪慈庸	洪仲丘事件	1	1
武则天	武媚娘传奇	1	1
F(x) (組合)	f(x)影視作品列表	3	3
中文维基百科	中国内地封锁维基媒体事件	3	3
法轮功	425上訪事件	3	1
万圣夜	鬼节	1	1
黑子的籃球	黑子的籃球角色列表	3	3
哈利·波特	哈利·波特中的魔法物品	3	3
HUNTER×HUNTER	HUNTER×HUNTER詞語列表	3	3
风中奇缘 (电视剧)	風中奇緣電視原聲帶	3	3
赵紫阳	六四事件	0	1
火影忍者角色列表	干柿鬼鮫	3	2
T-ara	T-ara的影視作品	3	3
秦武王	宜阳之战	1	1
AKB48	AKB48劇場公演	3	3
屍行者	陰屍路 (第四季)	3	3
木叶村忍者列表	李洛克	2	2
YouTube	防火长城	2	1
银魂	銀魂 (動畫)	2	3
宋楚瑜	興票案	1	1
蔡依林	蔡依林獲得的獎項與提名列表	3	3
张仪	纵横家	1	1
文化大革命	中国共产党第九次全国代表大会	1	1
越南	广西壮族自治区	0	1
叙利亚	叙利亚经济	3	3
廉政英雄登場角色列表	廉政英雄	1	1
美国	美國總統	3	3
马来西亚	马来西亚文化	3	3
九层妖塔	寻龙诀	0	1
林俊杰	林俊傑專輯列表	3	3
唐朝	藩鎮割據	3	2
FAIRY TAIL角色列表	妖精尾巴 (虛構組織)	1	2
新世纪福音战士	新世紀福音戰士人物	3	3
蔡英文	2010年中華民國直轄市公職人員選舉	1	1
秦始皇	奇貨可居	2	0
朱立倫	2005年中華民國縣市長暨縣市議員選舉	1	1
Apink	Apink影視作品列表	3	3
MP魔幻力量	MP魔幻力量作品列表	3	3
羅志祥	羅志祥國族事件	3	3
STAR_WARS：原力覺醒	星際大戰人物列表	1	3
太阳能电池	建築整合太陽能	0	2
時代力量	公民組合	0	1
叙利亚内战	敘利亞人權	1	1
哆啦A夢	哆啦A夢道具列表	3	3
胡锦涛	习李体制	0	1
