main_article	sub_article	rating1	rating2
Corinnoidea	Anexo:Especies de Corinnidae	2	3
XII Distrito Electoral Federal de Guanajuato	Distritos Electorales Federales de México	1	1
Sikorsky SH-3 Sea King	Westland Sea King	2	2
Patrulla aérea de combate	Supremacía aérea	2	1
Rada de Puerto Argentino/Stanley	Guerra de las Malvinas	1	1
Gaahl	Trelldom	2	2
El Margen	Margen	1	0
Estadio Central (Astrakán)	Anexo:Estadios de fútbol de Rusia	2	1
Chamaedorea linearis	Terminología descriptiva de las plantas	1	0
Anexo:Países de la ALADI por población futura (fertilidad media)	Anexo:Países por densidad de población	0	0
Anexo:Ganadores del Festival Internacional de Cine del Norte de Chile	Festival Internacional de Cine de Antofagasta	2	1
Jorge Camacho Peñaloza	Brozo	1	2
Puerta XNOR	Puerta AND	1	1
Monasterio de la Inmaculada Concepción (Segovia)	Orden de la Inmaculada Concepción	2	2
León X	Cónclave de 1513	2	2
Provincia de Jaime Zudáñez	Provincias de Bolivia	1	1
Escala de tiempo geológico lunar	Selenografía	2	2
Anexo:Participantes de la Vuelta a Costa Rica 2015	Vuelta a Costa Rica 2015	1	2
1959	Televisión en 1959	1	2
Revolución verde	Biotecnología	2	1
Salix gooddingii	Historia de la Botánica	1	0
Código Penal de Honduras de 1880	1881	0	0
Club Sport Rosario	Estadio Rosas Pampa	2	3
Luminița Anghel	Festival de la Canción de Eurovisión 2005	1	1
Rhino (intérprete de JavaScript)	Mozilla Grendel	1	0
Alquilo	Nomenclatura química de los compuestos orgánicos	1	0
Tylanthera cordata	Anexo:Cronología de la botánica	1	0
Sifón Drago	Bebidas	0	0
Astragalus amphioxys	Historia de la Botánica	1	0
Notoespecie	Notogénero	2	3
Arturo Núñez Jiménez	Elecciones estatales en Tabasco de 2012	2	2
Guinea-Bisáu	Geografía de Guinea-Bisáu	2	3
Municipio de Tilden	Municipio de Grove Park-Tilden (condado de Polk, Minnesota)	0	0
Hotel Aleksandar Palas	Hotel	1	0
Remington 700	M24 SWS	1	1
Codex Aureus	Evangeliario	1	0
Sínodo Diocesano Nivariense	Diócesis de San Cristóbal de La Laguna	1	2
Terraformación de Venus	Colonización de Venus	2	2
Activación del enlace C-H	Transmetalación	1	1
Eugène Spuller	Sitio de Paris	1	0
Conversión	cristianización	2	2
Factorial	Función gamma	0	1
Gloria Bonder	Feminismo	1	0
Roraima	Historia de Roraima	2	3
Polideportivo de Itagüí	Itagüí	1	1
Ammi-ditana	Cronología del Antiguo Oriente Próximo	1	1
Estafa de los quesitos	Células de la abundancia	0	1
Red digital de servicios integrados	Red telefónica conmutada	2	2
Palacio de Congresos de Gatineau	Conferencia	0	0
Price (desambiguación)	Pryce (desambiguación)	0	0
Matrimonio entre personas del mismo sexo en Rhode Island	Matrimonio entre personas del mismo sexo en los Estados Unidos	2	2
CHAdeMO	CCS Combo	2	2
Nicolás Roland	Charles Démia	1	0
Amsonia	Terminología descriptiva de las plantas	1	0
Municipio de Durham	Municipio de Durham Park (condado de Marion, Kansas)	1	0
Acıbadem kurabiyesi	Macaroon	1	1
Dique 4 (Puerto Madero)	Torres del Yacht	2	3
Nenga	Historia de la Botánica	1	1
Anexo:Actividades de SILAT	Terminología Morfológica Internacional	1	1
Petición	Amnistía Internacional	1	0
Régimen transitorio (electrónica)	Corriente transitoria	1	1
Anexo:Participantes del Tour de Francia 1997	Tour de Francia 1997	1	2
Las aventuras de Sonic el Erizo	Sonic el Erizo (serie de TV)	2	3
Gregorio Carretero	Las Bruscas	1	0
Metalurgia	Fundición (metalurgia)	2	2
Guerra polaco-lituano-teutónica	Batalla de Grünwald	2	3
Demetrio I de Macedonia	Reino de Macedonia	2	2
Libro de Ezequiel	Libro de Jeremías	1	1
Bṛihadāraṇyaka-upaniṣad	Upanishád	2	2
Nuala	Cluracán	2	2
EarthBound	Mother 3	2	2
Distrito de San Martín (Barcelona)	Distritos de Barcelona	2	2
Estatuto de Autonomía de la Región de Murcia	Consejo Regional de Murcia	2	2
Informe Hinchey	Intervención estadounidense en Chile	2	2
William Shakespeare	Autoría de las obras de Shakespeare	2	3
Romeo y Julieta (Chaikovski)	Anexo:Composiciones de Piotr Ilich Chaikovski	1	1
Bidimensional	Tridimensional	1	1
Isla Jenny Lind	Geografía de Canadá	1	1
Transductor	Observador	1	0
Desviación típica	Parámetro estadístico	1	1
Fuentecambrón	Anexo:Municipios de la provincia de Soria	1	1
Anexo:Transferencias del Torneo Apertura 2015 (Chile)	Copa Chile 2015-16	1	1
Anexo:Historial de versiones de Android	Android Gingerbread	2	3
Siluro San Bartolomeo	Buzo militar	1	0
Mercedes-Benz O 400	Mercedes-Benz OH	2	3
Esterilización (medicina)	Histerectomía	2	2
Anexo:Clasificación histórica de la Primera División de España	Anexo:Clubes de fútbol de España por fundación	1	0
Purismo decimonónico italiano	Purismo (arte)	2	2
Los Vengadores	Los Nuevos Vengadores	2	3
Limosnero	Órdenes mendicantes	1	1
Cordovín	La Rioja (España)	1	2
Minguela	Pociaguillo	1	1
Constante de masa atómica	Masa atómica	2	2
Primera División B 2009	Torneo de la División Intermedia de Paraguay 2009	2	3
Torneo de Bastad 2013	Torneos ATP en 2013	2	1
Fetichismo sexual	Acuafilia	1	3
Óscar Cerruto	Cultura de Bolivia	1	2
Historia del mar Caribe	Cuenca del Caribe	2	1
Factory Records	Catálogo de Factory Records	2	3
Bulbophyllum lemniscatum	Historia de la Botánica	2	1
