main_article	sub_article	rating1	rating2
天符經	五岳 (韩国)	0	0
松特拉	黑森州市镇列表	1	1
八達通日日賞	2010年八達通私隱資料事件	3	3
广东都指挥使司	明朝都司卫所列表	1	1
奧林匹亞宙斯神廟	奧林匹亞宙斯神像	3	3
赵匡胤	燭影斧聲	2	1
北海道道1157号幸福连络线	北海道道道列表	1	1
国家4A级旅游景区	国家5A级旅游景区	1	0
南京的真实	南京 (电影)	1	1
堪城之声	东方都市报	1	0
同登站	Z5/6次列车	1	0
神奇寶貝XY	神奇寶貝動畫角色列表	1	2
Socket 563	CPU插座	1	0
拉贝尔纳尔迪埃	旺代省市镇列表	1	1
巴拿巴	聖馬爾谷	1	0
诺基亚N810	Maemo	1	2
氢负离子	氢离子	1	0
巴利拉莫米松	比利牛斯-大西洋省市镇列表	1	1
欧比涅	伊勒-维莱讷省市镇列表	1	1
涼麵	涼粉 (中國北方)	1	3
塞克河畔努瓦阿尔-沙蒂隆 (伊勒-维莱讷省)	伊勒-维莱讷省市镇列表	1	1
穆兰纳 (阿列日省)	阿列日省市镇列表	1	1
中華民國與斯洛伐克關係	中華民國公民簽證要求	0	0
布西尼	诺尔省市镇列表	1	1
路易-菲利普一世	法國王位繼承人	1	0
田齐	田齐君主家族树	3	3
Fujimoto–Belleau反应	化学反应列表	1	0
史密森尼美國藝術博物館	伦威克美术馆	1	3
遊戲機歷史 (第四世代)	超級任天堂	0	0
零～zero～	零系列角色列表#零～zero～	3	3
賽德克語	賽德克語音系	2	3
拉塞尔盖尔谢斯	伊勒-维莱讷省市镇列表	1	1
五行山	五指山	0	3
莫尔尼 (厄尔省)	厄尔省市镇列表	1	1
六合彩	地下六合彩	3	3
火	火焰	2	1
2010年亚足联U19青年锦标赛	中國漁船與日本巡邏船釣魚島相撞事件	0	0
奥普	瓦尔省市镇列表	1	1
約會大作戰	約會大作戰角色列表	3	3
中華民國護照	中华民国公民签证要求	3	3
壬烷	烷烃	1	0
勒库德赖蒙特科	埃松省市镇列表	1	1
伊邪那岐板块	太平洋板块	1	0
肺動脈	循環系統	1	0
西安博物院	小雁塔	2	2
浙江省道	中华人民共和国公路分类	0	0
2010年女子亚洲杯足球赛	2010年女子亞洲杯足球賽資格賽	3	3
半人马座恒星列表	星座恒星列表	1	1
布塞克	黑森州市镇列表	1	1
德国共产党/马列	西柏林统一社会党	2	3
孟菲斯 (埃及)	萨卡拉	1	0
卡尔德罗克	伊勒-维莱讷省市镇列表	1	1
于尔塞勒	埃纳省市镇列表	1	1
控制理论	狀態空間	2	2
比龙 (比利牛斯-大西洋省)	比利牛斯-大西洋省市镇列表	1	1
南北朝行政區劃	刘宋行政区划	3	3
丰沙铁路车站列表	丰沙铁路	1	0
中華民國與馬利關係	中華民國公民簽證要求	0	0
T28超重型坦克	八號坦克鼠式	1	0
清华大学理论化学中心	理论化学	1	0
篮球兄弟集数列表	篮球兄弟 (第二季)	3	3
阳高县	阳高县文物保护单位	3	3
批处理任务	批次檔	2	2
比例模型	鐵道模型	2	2
英格兰国旗	蘇格蘭國旗	1	0
麥家瑜	More Than Love	3	2
杭州博物馆列表	杭州旅游景点列表	1	1
诺尔芒维尔 (厄尔省)	厄尔省市镇列表	1	1
上饶东岳庙	东岳庙	0	1
镇坪县	华南虎照片事件	2	0
竞速	马拉松	3	2
王晓理	2012年夏季奧林匹克運動會羽毛球女子雙打比賽	1	1
积沙墓	积石墓	1	0
聽覺系統	耳	3	2
塞朗维莱尔福朗维尔	诺尔省市镇列表	1	1
死亡笔记	死亡筆記角色列表	3	3
穆斯塔法·凯末尔·阿塔图尔克	凱末爾改革	2	3
一個原則、三個堅持、五個反對	台灣獨立運動	1	1
圣阿芒代斯-奥泰泰尔雷 (厄尔省)	厄尔省市镇列表	1	1
2008年中國網球公開賽女子單打比賽	2008年中國網球公開賽	1	1
Julia (编程语言)	Mathematica	1	0
吉泽里	上比利牛斯省市镇列表	1	1
臺南市	臺南市歷史	3	3
文泉驿	開源香港常用中文字體計劃	1	0
梅尔·吉布森	耶穌受難記	3	1
天池 (长白山)	长白山机场	2	0
腓尼基	腓尼基字母	3	3
科利讷博蒙	加来海峡省市镇列表	1	1
脉冲风星云	SNR G292.0+01.8	0	0
2005年亚速尔亚热带风暴	2005年大西洋飓风季时间轴	1	1
阿韦讷勒塞克	诺尔省市镇列表	1	1
三碘甲烷	卤仿反应	2	1
经验开放性	特质理论	1	1
大秦寺	大秦景教流行中国碑	1	1
威尔士亲王号战列舰	馬來亞海戰	1	0
边际主义	边际效用	3	2
尚布拉克	厄尔省市镇列表	1	1
海尔·塞拉西一世	非洲联盟	1	0
嗜血法医 (第七季)	嗜血法医剧集列表	1	1
1956年冬季奥林匹克运动会	1956年冬季奥林匹克运动会奖牌榜	3	3
海防舰	石垣号海防艇	2	3
八羰基二钴	尼古拉斯反应	3	2
